Accession,(SSI VS NSI)p-value,(SSI VS NSI)Log2Fc,(SSI VS SS)p-value,(SSI VS SS)Log2Fc,(NSI VS NS)p-value,(NSI VS NS)Log2Fc,(SS VS NS)p-value,(SS VS NS)Log2Fc,SSI VS NSI-DE,SSI VS NSI-Up,SSI VS NSI-Down,SSI VS SS-DE,SSI VS SS-Up,SSI VS SS-Down,NSI VS NS-DE,NSI VS NS-Up,NSI VS NS-Down,SS VS NS-DE,SS VS NS-Up,SS VS NS-Down
Q69KC4_ORYSJ,0.05636443,0.125297204,NP,NP,0.000100828,0.939921044,NP,NP,0,0,0,0,0,0,1,1,0,0,0,0
Q69LE4_ORYSJ,0.188215726,0.032085495,0.253378803,-0.073738993,NP,NP,0.033166225,0.326381457,0,0,0,0,0,0,0,0,0,1,1,0
Q69MD2_ORYSJ,0.473336654,0.006001387,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
Q69MT1_ORYSJ,0.293270111,0.062282254,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
Q69NA5_ORYSJ,0.008763738,-1.117708857,0.000515532,1.35466828,NP,NP,0.012228772,-0.681999093,1,0,1,1,1,0,0,0,0,1,0,1
Q69P55_ORYSJ,0.000144192,0.432645425,NP,NP,0.001445678,-0.218925554,NP,NP,1,1,0,0,0,0,1,0,1,0,0,0
Q69P89_ORYSJ,0.04942844,0.123374641,NP,NP,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
Q69PQ1_ORYSJ,8.00E-06,-0.411083573,NP,NP,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
Q69RL4_ORYSJ,0.000599171,0.967192912,NP,NP,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
Q69WZ1_ORYSJ,0.00513218,0.199766627,NP,NP,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
Q69Y39_ORYSJ,0.138943772,0.151234458,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
Q6AUB4_ORYSJ,0.242750023,0.202351658,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
Q6AUI3_ORYSJ,0.001846055,0.273622791,NP,NP,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
Q6AVR9_ORYSJ,0.036287796,0.223712458,NP,NP,0.000183137,0.81156942,NP,NP,1,1,0,0,0,0,1,1,0,0,0,0
Q6AVV6_ORYSJ,0.000848741,-0.521108736,NP,NP,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
Q6EQK1_ORYSJ,0.149016992,-0.051037704,0.003441233,-0.359287496,NP,NP,NP,NP,0,0,0,1,0,1,0,0,0,0,0,0
Q6ES92_ORYSJ,0.002647883,0.262932958,0.002939103,-0.807096912,0.000197973,-5.139704016,0.001280786,2.748830506,1,1,0,1,0,1,1,0,1,1,1,0
Q6EUK2_ORYSJ,0.028136686,0.233932516,0.001430924,-0.448225929,NP,NP,NP,NP,1,1,0,1,0,1,0,0,0,0,0,0
Q6F2Z5_ORYSJ,0.050257461,0.164432793,0.000279935,1.80952793,NP,NP,NP,NP,0,0,0,1,1,0,0,0,0,0,0,0
Q6F378_ORYSJ,2.16E-05,0.910909542,NP,NP,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
Q6H4T8_ORYSJ,0.076322087,0.321030453,0.170154094,-0.376406046,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
Q6H5Y7_ORYSJ,0.000932616,1.103115965,0.044814382,-0.940469741,NP,NP,0.203452931,-0.914996038,1,1,0,1,0,1,0,0,0,0,0,0
Q6H851_ORYSJ,0.432938523,-0.008673726,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
Q6I591_ORYSJ,0.123621549,-0.059730611,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
Q6K1Y0_ORYSJ,0.123735816,0.09831394,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
Q6K246_ORYSJ,0.377306137,-0.025791903,0.003479418,0.885914343,NP,NP,NP,NP,0,0,0,1,1,0,0,0,0,0,0,0
Q6K3D1_ORYSJ,0.004961915,0.354515694,NP,NP,0.011691246,0.232774228,NP,NP,1,1,0,0,0,0,1,1,0,0,0,0
Q6K4E1_ORYSJ,0.046543198,-0.083636549,NP,NP,0.006067182,-0.128593635,NP,NP,1,0,1,0,0,0,1,0,1,0,0,0
Q6K4E6_ORYSJ,0.000111668,0.944579834,0.000920922,-0.675504518,NP,NP,NP,NP,1,1,0,1,0,1,0,0,0,0,0,0
Q6K722_ORYSJ,0.010378091,0.191311336,0.000692849,0.991850104,NP,NP,NP,NP,1,1,0,1,1,0,0,0,0,0,0,0
Q6K7Q7_ORYSJ,0.40814904,-0.015473128,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
Q6K7V0_ORYSJ,0.003999599,-0.137208401,NP,NP,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
Q6K9X4_ORYSJ,0.460296865,0.007762836,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
Q6KAB7_ORYSJ,0.33964538,-0.015771943,0.375160352,0.048828004,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
Q6L4D7_ORYSJ,0.242750023,0.202351658,0.199799473,-0.253850492,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
Q6L550_ORYSJ,0.150880996,0.076984421,0.012282842,0.303968869,NP,NP,NP,NP,0,0,0,1,1,0,0,0,0,0,0,0
Q6L5C8_ORYSJ,0.00060003,-0.485968115,0.067638711,0.341152899,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
Q6L5J3_ORYSJ,0.009597476,-0.169806421,0.013643389,0.225685239,1.41E-05,0.470847968,NP,NP,1,0,1,1,1,0,1,1,0,0,0,0
Q6YTT4_ORYSJ,1.61E-05,0.742975175,0.2952192,-0.097530317,0.062202038,0.02382546,0.472396377,0.005018625,1,1,0,0,0,0,0,0,0,0,0,0
Q6YUS5_ORYSJ,0.00371134,-0.212192454,NP,NP,0.007262069,-0.048644697,NP,NP,1,0,1,0,0,0,1,0,1,0,0,0
Q6YVV8_ORYSJ,0.058199535,0.423867138,NP,NP,0.330957453,-0.132803779,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
Q6YXY8_ORYSJ,0.132556661,-0.073373209,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
Q6YYG5_ORYSJ,1.81E-06,0.373380113,NP,NP,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
Q6Z0U9_ORYSJ,0.282856593,-0.050807578,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
Q6Z2A2_ORYSJ,0.07408091,0.36504561,NP,NP,0.392015497,-0.012563437,0.05852379,1.694787494,0,0,0,0,0,0,0,0,0,0,0,0
Q6Z2B6_ORYSJ,0.098273428,-0.103113726,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
Q6Z306_ORYSJ,0.001477031,0.203609222,NP,NP,0.05934568,0.109201022,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
Q6Z3F1_ORYSJ,0.041029232,0.15003921,NP,NP,0.000519759,0.452198819,NP,NP,1,1,0,0,0,0,1,1,0,0,0,0
Q6Z632_ORYSJ,0.207880221,0.055991669,0.345689554,0.026430402,NP,NP,0.134649917,0.130942596,0,0,0,0,0,0,0,0,0,0,0,0
Q6Z6A3_ORYSJ,0.001149815,0.702750048,NP,NP,5.06E-06,1.831311767,NP,NP,1,1,0,0,0,0,1,1,0,0,0,0
Q6Z6C7_ORYSJ,0.075172771,-0.35147944,0.137854861,-0.570582859,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
Q6Z742_ORYSJ,0.016332237,1.206923311,0.00847686,0.964341382,0.009319099,-1.776096378,0.08848056,-0.586712199,1,1,0,1,1,0,1,0,1,0,0,0
Q6Z782_ORYSJ,0.212988612,-0.069703461,0.400410872,0.036862741,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
Q6Z8D4_ORYSJ,0.285003227,0.041230869,0.000867409,1.507178376,0.000293069,-0.413174432,NP,NP,0,0,0,1,1,0,1,0,1,0,0,0
Q6Z8R5_ORYSJ,0.015458772,-0.18051837,0.303260386,0.056054053,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
Q6Z8Y3_ORYSJ,0.03379213,-0.194139264,NP,NP,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
Q6ZBZ9_ORYSJ,0.078088089,-0.312840395,NP,NP,5.63E-05,5.018871266,NP,NP,0,0,0,0,0,0,1,1,0,0,0,0
Q6ZC29_ORYSJ,0.431443418,0.011840015,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
Q6ZC33_ORYSJ,0.002652722,-0.208235805,NP,NP,0.002296682,-0.14033999,NP,NP,1,0,1,0,0,0,1,0,1,0,0,0
Q6ZDX3_ORYSJ,0.007167107,-0.119764504,NP,NP,0.002394723,-0.312061149,NP,NP,1,0,1,0,0,0,1,0,1,0,0,0
Q6ZF70_ORYSJ,0.000355306,4.257385566,0.078895959,-0.348591104,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
Q6ZG89_ORYSJ,0.006401375,-0.290267206,0.170333834,0.128596408,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
Q6ZGD1_ORYSJ,0.000196891,-0.483384643,NP,NP,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
Q6ZGT9_ORYSJ,9.07E-05,0.351240354,0.000640694,0.650378419,NP,NP,NP,NP,1,1,0,1,1,0,0,0,0,0,0,0
Q6ZI82_ORYSJ,0.000333354,-0.216450601,0.017340945,0.296070055,NP,NP,0.009992767,-0.338899576,1,0,1,1,1,0,0,0,0,1,0,1
Q6ZJW6_ORYSJ,0.030177071,0.142821066,0.00068119,1.01821244,NP,NP,NP,NP,1,1,0,1,1,0,0,0,0,0,0,0
Q6ZKR7_ORYSJ,0.115828167,0.088064391,0.000472616,1.180485376,7.82E-05,0.816527017,NP,NP,0,0,0,1,1,0,1,1,0,0,0,0
Q75GI8_ORYSJ,0.112255417,0.093065707,0.19444725,-0.088395139,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
Q75GQ8_ORYSJ,0.17820784,0.104199626,0.459395354,0.041003869,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
Q75HR0_ORYSJ,0.055856944,-0.402681148,NP,NP,0.001379028,1.705150521,NP,NP,0,0,0,0,0,0,1,1,0,0,0,0
Q75HV8_ORYSJ,0.193271546,0.046225705,NP,NP,0.292850414,0.018426412,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
Q75HY6_ORYSJ,0.09898628,0.084581475,0.000609206,-0.730838122,NP,NP,0.027296735,-0.290480432,0,0,0,1,0,1,0,0,0,1,0,1
Q75J19_ORYSJ,0.17820784,0.104199626,NP,NP,1.68E-05,-0.842561091,NP,NP,0,0,0,0,0,0,1,0,1,0,0,0
Q75M18_ORYSJ,0.000226758,0.400620685,NP,NP,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
Q7EZL2_ORYSJ,0.001547896,-0.253127233,NP,NP,2.21E-05,1.785747214,NP,NP,1,0,1,0,0,0,1,1,0,0,0,0
Q7F0B2_ORYSJ,0.329367688,0.064071808,0.003787785,1.890834619,NP,NP,NP,NP,0,0,0,1,1,0,0,0,0,0,0,0
Q7F1R9_ORYSJ,0.001069683,-0.125139294,NP,NP,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
Q7FAN9_ORYSJ,0.019987886,-0.093448548,NP,NP,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
Q7G5M7_ORYSJ,1.21E-05,0.988639271,0.000767531,2.410506032,0.004704925,-0.289766814,0.015500477,2.527947058,1,1,0,1,1,0,1,0,1,1,1,0
Q7G607_ORYSJ,0.000644174,0.206860814,0.000404906,0.930237439,NP,NP,NP,NP,1,1,0,1,1,0,0,0,0,0,0,0
Q7G752_ORYSJ,0.004077528,-0.080640546,NP,NP,0.007202678,0.122229921,NP,NP,1,0,1,0,0,0,1,1,0,0,0,0
Q7G8G4_ORYSJ,0.033496319,-0.178482259,0.461702525,0.012676232,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
Q7X6M3_ORYSJ,0.297478058,-0.095437195,NP,NP,0.035638528,-0.316216826,NP,NP,0,0,0,0,0,0,1,0,1,0,0,0
Q7XAM2_ORYSJ,0.000137799,-0.435181174,0.15046158,0.190749043,0.007350704,0.164314013,0.026857897,-0.4488603,1,0,1,0,0,0,1,1,0,1,0,1
Q7XAM6_ORYSJ,0.015862081,0.093846519,0.236163706,-0.145853539,0.000286621,-0.355232495,NP,NP,1,1,0,0,0,0,1,0,1,0,0,0
Q7XBT3_ORYSJ,0.030659531,0.35349096,NP,NP,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
Q7XBZ0_ORYSJ,0.000882332,-0.512496536,NP,NP,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
Q7XCM3_ORYSJ,0.001138789,-0.384967168,NP,NP,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
Q7XHW3_ORYSJ,0.382331216,0.036966396,0.011452566,1.905748235,NP,NP,NP,NP,0,0,0,1,1,0,0,0,0,0,0,0
Q7XI09_ORYSJ,0.132556661,-0.073373209,NP,NP,0.000499254,-0.148178285,NP,NP,0,0,0,0,0,0,1,0,1,0,0,0
Q7XKP8_ORYSJ,0.425930379,-0.009209949,0.35164837,0.039001711,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
Q7XM41_ORYSJ,0.001918235,-0.346264218,NP,NP,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
Q7XMQ6_ORYSJ,2.51E-05,0.859839575,NP,NP,NP,NP,0.404932791,0.053680677,1,1,0,0,0,0,0,0,0,0,0,0
Q7XMR1_ORYSJ,0.085661811,0.032053265,0.004266852,-0.734575897,NP,NP,0.153050161,0.385543546,0,0,0,1,0,1,0,0,0,0,0,0
Q7XPV3_ORYSJ,0.011053258,1.284124974,0.003462205,-1.748119362,NP,NP,NP,NP,1,1,0,1,0,1,0,0,0,0,0,0
Q7XQC5_ORYSJ,0.001522413,-0.14332181,0.148745067,0.252813242,NP,NP,0.014785651,0.941509668,1,0,1,0,0,0,0,0,0,1,1,0
Q7XQT8_ORYSJ,0.240855333,0.128341086,NP,NP,0.068548233,0.132012316,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
Q7XQV1_ORYSJ,0.017261946,0.177540939,0.001425009,-0.454658801,NP,NP,NP,NP,1,1,0,1,0,1,0,0,0,0,0,0
Q7XR00_ORYSJ,0.109660331,0.284517344,0.153796021,-0.418043031,0.363426811,-0.013959511,0.049914435,-0.397211851,0,0,0,0,0,0,0,0,0,1,0,1
Q7XR79_ORYSJ,0.000845634,-0.385655152,0.070965182,0.215193179,0.091654257,0.080687649,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
Q7XSD2_ORYSJ,0.014422582,0.204245024,NP,NP,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
Q7XSQ2_ORYSJ,0.228963274,-1.651869295,NP,NP,0.261628659,-0.695370942,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
Q7XUQ7_ORYSJ,0.020113426,0.130999374,NP,NP,0.014962061,-0.094160665,0.285982319,0.089037399,1,1,0,0,0,0,1,0,1,0,0,0
Q7XUV8_ORYSJ,0.047173878,-0.099017622,NP,NP,0.006804722,-0.194536734,NP,NP,1,0,1,0,0,0,1,0,1,0,0,0
Q7XV23_ORYSJ,0.013507906,-0.329919702,NP,NP,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
Q7XV42_ORYSJ,0.09898628,0.084581475,0.399650796,-0.058272068,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
Q7XXF5_ORYSJ,0.005910878,0.415861722,NP,NP,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
Q7XXJ5_ORYSJ,0.00037385,0.442648888,0.000272588,1.97759448,NP,NP,0.010319121,0.253448445,1,1,0,1,1,0,0,0,0,1,1,0
Q7XZH2_ORYSJ,0.057056808,0.401943197,0.10964,0.168727329,0.329920446,-0.130901756,0.15948325,0.168268605,0,0,0,0,0,0,0,0,0,0,0,0
Q7Y0C6_ORYSJ,0.225806132,0.103825005,NP,NP,0.199945689,-0.064312773,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
Q7Y1L1_ORYSJ,0.000600158,0.574030245,NP,NP,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
Q84J76_ORYSJ,0.033581777,-0.178944661,NP,NP,0.110912117,0.037474692,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
Q84MP1_ORYSJ,0.267263044,-0.019340218,0.260270508,-0.164787827,0.069555623,-0.037678776,0.016952335,-1.034781081,0,0,0,0,0,0,0,0,0,1,0,1
Q84MV9_ORYSJ,0.003252337,-0.199517596,0.146938553,-0.142401063,0.146284747,0.042248769,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
Q84QV5_ORYSJ,5.11E-05,0.915283129,0.015703604,0.385772983,NP,NP,NP,NP,1,1,0,1,1,0,0,0,0,0,0,0
Q84YR7_ORYSJ,0.000407503,-0.267667142,NP,NP,0.004731427,0.079823406,NP,NP,1,0,1,0,0,0,1,1,0,0,0,0
Q84ZR9_ORYSJ,0.10249397,-0.23657601,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
Q84ZT1_ORYSJ,0.003336793,-0.162098325,NP,NP,0.000128203,-0.245379465,NP,NP,1,0,1,0,0,0,1,0,1,0,0,0
Q851E0_ORYSJ,0.307281505,-0.262658265,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
Q8GRV4_ORYSJ,0.039304348,0.237002442,0.425200354,0.024881861,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
Q8GVQ8_ORYSJ,0.3718741,0.0390522,7.72E-05,-2.401881469,NP,NP,NP,NP,0,0,0,1,0,1,0,0,0,0,0,0
Q8GZW3_ORYSJ,0.023781344,0.129133948,0.142153987,-1.142047746,NP,NP,0.100284346,1.333815889,1,1,0,0,0,0,0,0,0,0,0,0
Q8H061_ORYSJ,0.012288902,-0.078321242,0.023959205,0.182214606,NP,NP,0.243869291,0.134736515,1,0,1,1,1,0,0,0,0,0,0,0
Q8H3L8_ORYSJ,0.293270111,0.062282254,NP,NP,0.097256101,-0.971749005,0.040081299,-1.06844755,0,0,0,0,0,0,0,0,0,1,0,1
Q8H8M9_ORYSJ,0.000384846,-0.417089006,NP,NP,0.098157854,0.023070999,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
Q8H919_ORYSJ,0.015353673,-0.180623061,0.305355304,0.055406618,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
Q8L426_ORYSJ,0.297478058,-0.095437195,NP,NP,0.035638528,-0.316216826,NP,NP,0,0,0,0,0,0,1,0,1,0,0,0
Q8L460_ORYSJ,0.001026696,-0.633194436,NP,NP,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
Q8L4B1_ORYSJ,0.282565092,0.099497466,0.230584633,0.056966981,0.378123108,-0.025605732,0.361763567,0.025682041,0,0,0,0,0,0,0,0,0,0,0,0
Q8LI36_ORYSJ,0.007110472,-0.131392487,NP,NP,0.000825998,-0.117827038,0.100843458,-0.302734565,1,0,1,0,0,0,1,0,1,0,0,0
Q8LJ05_ORYSJ,0.058199535,0.423867138,NP,NP,0.330957453,-0.132803779,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
Q8LL83_ORYSJ,0.006391542,-0.092179744,NP,NP,0.001670709,0.203748802,NP,NP,1,0,1,0,0,0,1,1,0,0,0,0
Q8LML7_ORYSJ,0.010524294,0.064390306,0.012695798,-0.402253026,NP,NP,NP,NP,1,1,0,1,0,1,0,0,0,0,0,0
Q8LQN6_ORYSJ,1.01E-05,-0.525486404,0.013364848,0.236585792,NP,NP,0.000175233,-0.628687174,1,0,1,1,1,0,0,0,0,1,0,1
Q8RU46_ORYSJ,0.006391542,-0.092179744,0.113261481,0.168217675,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
Q8RU47_ORYSJ,0.315984488,0.030990941,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
Q8RU51_ORYSJ,0.434369748,-0.00628641,0.393859199,0.033284882,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
Q8S0N2_ORYSJ,0.102961548,-0.088997771,0.133749419,-0.115466585,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
Q8S1U6_ORYSJ,0.321582658,-0.023687545,NP,NP,0.012636212,-0.145339259,NP,NP,0,0,0,0,0,0,1,0,1,0,0,0
Q8S5V3_ORYSJ,0.000376817,0.237225364,NP,NP,0.42237878,-0.005675575,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
Q8S9P7_ORYSJ,0.457385397,0.009205279,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
Q8W0I3_ORYSJ,0.167967525,0.063494549,0.000885274,1.878558103,NP,NP,NP,NP,0,0,0,1,1,0,0,0,0,0,0,0
Q8W2U9_ORYSJ,0.479642016,-0.003424059,NP,NP,5.17E-05,0.776646835,NP,NP,0,0,0,0,0,0,1,1,0,0,0,0
Q8W2V8_ORYSJ,0.002230012,-0.299887906,NP,NP,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
Q94H83_ORYSJ,0.012400959,-0.269199155,0.019407997,0.652216648,NP,NP,NP,NP,1,0,1,1,1,0,0,0,0,0,0,0
Q94LU7_ORYSJ,0.006291272,-0.156880122,0.001827908,0.708916195,0.001124331,0.174557328,0.015550942,-0.495899313,1,0,1,1,1,0,1,1,0,1,0,1
Q94LV9_ORYSJ,0.000721962,0.922336063,0.148834858,0.221007555,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
Q9ASD8_ORYSJ,0.000599171,0.967192912,NP,NP,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
Q9LGP3_ORYSJ,0.009357608,-0.35364601,NP,NP,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
RAP_ORYSJ,0.000121509,-0.412575013,NP,NP,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
RDR2_ORYSJ,0.212988612,-0.069703461,0.400410872,0.036862741,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
RH16_ORYSJ,0.23518321,-0.060147879,0.000231973,-0.860701681,NP,NP,NP,NP,0,0,0,1,0,1,0,0,0,0,0,0
RH3_ORYSJ,0.04942844,0.123374641,0.406964692,-0.021338847,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
ROC7_ORYSJ,0.005533659,0.495389423,NP,NP,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
ROS1A_ORYSJ,0.035601069,-0.260473754,0.377008434,-0.037539904,0.00179152,-0.334416888,0.013195908,-0.605088108,1,0,1,0,0,0,1,0,1,1,0,1
ROS1C_ORYSJ,0.001161636,0.365684414,NP,NP,0.002404162,-2.097949086,0.239342073,0.149294593,1,1,0,0,0,0,1,0,1,0,0,0
RPOC2_ORYSJ,0.00208532,0.253268558,0.439703755,0.01958445,0.345094691,0.008948773,0.008167381,2.344007462,1,1,0,0,0,0,0,0,0,1,1,0
RSH1_ORYSJ,0.005240559,-0.114941344,0.448710852,0.008721338,0.20379752,-0.042618145,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
RTOR2_ORYSJ,0.062864224,0.58787689,NP,NP,9.52E-05,0.729167522,NP,NP,0,0,0,0,0,0,1,1,0,0,0,0
SCRL1_ORYSJ,0.369438412,-0.018445218,0.004541515,-3.504785466,6.40E-06,0.546164142,0.22731371,0.225296194,0,0,0,1,0,1,1,1,0,0,0,0
SGS3_ORYSJ,0.403056336,0.016271123,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
SLRL2_ORYSJ,0.015689408,-0.147498776,NP,NP,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
SPSA3_ORYSJ,0.025177779,-0.585232352,NP,NP,0.002645588,1.502938062,NP,NP,1,0,1,0,0,0,1,1,0,0,0,0
SSDH_ORYSJ,0.008783541,-0.14695348,0.250719225,0.039821133,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
SSG4_ORYSJ,0.228963274,-1.651869295,0.389516874,-0.260848908,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
SWT7E_ORYSJ,0.392567503,-0.021809653,NP,NP,0.417208722,0.011640417,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
SYM_ORYSJ,0.349606346,0.020319638,0.015948734,0.252721083,NP,NP,NP,NP,0,0,0,1,1,0,0,0,0,0,0,0
TAF1_ORYSJ,0.003499194,0.18004474,0.0068854,0.529397949,0.004591012,0.124559401,0.032656486,-0.300743649,1,1,0,1,1,0,1,1,0,1,0,1
TNPO1_ORYSJ,0.115780871,-0.098688466,NP,NP,0.316586638,0.030456353,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
TRX1_ORYSJ,0.114801047,0.045367767,NP,NP,0.334572888,-0.018457975,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
XOAT7_ORYSJ,0.332605237,0.018841339,0.424627218,0.012219829,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
Y1237_ORYSJ,1.46E-05,0.790436715,NP,NP,0.006569588,-0.210180409,NP,NP,1,1,0,0,0,0,1,0,1,0,0,0
YAO_ORYSJ,0.09864937,-0.091751234,0.014392763,0.560234034,NP,NP,NP,NP,0,0,0,1,1,0,0,0,0,0,0,0
YSL15_ORYSJ,0.004772213,-0.134982991,0.029826544,-0.37093757,NP,NP,NP,NP,1,0,1,1,0,1,0,0,0,0,0,0
4CLL5_ORYSJ,NP,NP,0.000514261,0.635653637,NP,NP,0.002583204,-0.657858658,0,0,0,1,1,0,0,0,0,1,0,1
A0A0N7KCE4_ORYSJ,NP,NP,0.007678311,0.436589677,NP,NP,0.001829958,-0.692977549,0,0,0,1,1,0,0,0,0,1,0,1
A0A0N7KDE3_ORYSJ,NP,NP,0.352578364,0.06500717,NP,NP,0.352874167,0.057376781,0,0,0,0,0,0,0,0,0,0,0,0
A0A0N7KDH1_ORYSJ,NP,NP,0.383856717,-0.350029619,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
A0A0N7KDK7_ORYSJ,NP,NP,0.051076449,-0.570961345,NP,NP,0.111814205,2.907933902,0,0,0,0,0,0,0,0,0,0,0,0
A0A0N7KE27_ORYSJ,NP,NP,0.337987703,-0.036074244,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
A0A0N7KEX1_ORYSJ,NP,NP,0.282100255,0.244560905,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
