Accession,(SSI VS NSI)p-value,(SSI VS NSI)Log2Fc,(SSI VS SS)p-value,(SSI VS SS)Log2Fc,(NSI VS NS)p-value,(NSI VS NS)Log2Fc,(SS VS NS)p-value,(SS VS NS)Log2Fc,SSI VS NSI-DE,SSI VS NSI-Up,SSI VS NSI-Down,SSI VS SS-DE,SSI VS SS-Up,SSI VS SS-Down,NSI VS NS-DE,NSI VS NS-Up,NSI VS NS-Down,SS VS NS-DE,SS VS NS-Up,SS VS NS-Down
A0A0P0W8V3_ORYSJ,0.00013402,0.419830754,0.003187446,1.994137797,NP,NP,NP,NP,1,1,0,1,1,0,0,0,0,0,0,0
A0A0P0W8V5_ORYSJ,0.465373191,0.008019704,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
A0A0P0W929_ORYSJ,0.114801047,0.045367767,NP,NP,0.334572888,-0.018457975,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
A0A0P0W9J8_ORYSJ,0.003960853,-0.405093281,NP,NP,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
A0A0P0WA98_ORYSJ,0.012396475,-0.067818553,NP,NP,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
A0A0P0WAF3_ORYSJ,0.141705222,0.0703898,0.000734934,1.264899662,NP,NP,NP,NP,0,0,0,1,1,0,0,0,0,0,0,0
A0A0P0WAJ1_ORYSJ,0.015710358,-0.18436705,NP,NP,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
A0A0P0WAK8_ORYSJ,0.000144192,0.432645425,NP,NP,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
A0A0P0WAU5_ORYSJ,0.211279659,-0.035255311,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
A0A0P0WB81_ORYSJ,0.023101726,-0.066975226,0.230029592,0.078999412,0.013198447,0.131457836,NP,NP,1,0,1,0,0,0,1,1,0,0,0,0
A0A0P0WBD7_ORYSJ,0.464024174,-0.005388437,0.000728442,1.482634377,NP,NP,NP,NP,0,0,0,1,1,0,0,0,0,0,0,0
A0A0P0WC91_ORYSJ,0.166746988,0.214976631,0.028678993,-0.428708407,NP,NP,0.042920493,0.352486956,0,0,0,1,0,1,0,0,0,1,1,0
A0A0P0WCR2_ORYSJ,0.002974042,-0.476333561,NP,NP,0.135836812,0.088509195,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
A0A0P0WD03_ORYSJ,0.090398448,-0.187853891,0.372513978,0.033271928,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
A0A0P0WEV3_ORYSJ,0.030177071,0.142821066,NP,NP,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
A0A0P0WEZ7_ORYSJ,0.000109052,0.873006964,0.498413358,-0.000805785,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
A0A0P0WF83_ORYSJ,0.004793702,-0.144106154,0.01015123,-0.485706869,0.000733014,-0.334858942,NP,NP,1,0,1,1,0,1,1,0,1,0,0,0
A0A0P0WF90_ORYSJ,0.001178199,-0.423413393,NP,NP,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
A0A0P0WFB2_ORYSJ,0.460609882,0.010298315,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
A0A0P0WGA9_ORYSJ,0.101802303,0.047645608,0.063182514,0.288386517,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
A0A0P0WGC8_ORYSJ,0.087598926,-0.17756071,0.052452468,0.754914499,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
